Area,cenrow,ylat,xlong,boxr,boxl,boxb,boxt,lx,ly
Grey District,48951,42.4503,171.2079,0,0.2,0.2,0.3,0.2,0.25
Queenstown,48964,45.0311,168.6625,0,0.2,0.1,0.2,0.2,0.15
Invercargill,48969,46.4131,168.3475,0.2,0.4,0,0.1,0.3,0.1
Dunedin,48965,45.8667,170.5,0.4,0.6,0,0.1,0.5,0.1
Timaru,48958,44.4,171.25,0.6,0.8,0,0.1,0.7,0.1
Ashburton,48957,43.9056,171.7456,0.8,1,0.1,0.2,0.8,0.15
Christchurch,48955,43.53,172.6203,0.8,1,0.2,0.3,0.8,0.25
Nelson,48947,41.2708,173.2839,0.8,1,0.3,0.4,0.8,0.35
Wellington,48942,41.2889,174.7772,0.8,1,0.4,0.5,0.8,0.45
Lower Hutt,48941,41.2167,174.9167,0.8,1,0.5,0.6,0.8,0.55
Palmerston N.,48935,40.355,175.6117,0.8,1,0.7,0.8,0.8,0.75
Napier,48926,39.4833,176.9167,0.8,1,0.6,0.7,0.8,0.65
Tauranga,48918,37.6833,176.1667,0.8,1,0.8,0.9,0.8,0.85
Auckland,48906,36.8406,174.74,0.6,0.8,0.9,1,0.7,0.9
Far North,48903,35.58,173.97,0.4,0.6,0.9,1,0.5,0.9
Hamilton,48911,37.7833,175.2833,0.2,0.4,0.9,1,0.3,0.9
New Plymouth,48928,39.0667,174.0833,0,0.2,0.8,0.9,0.2,0.85
Upper Hutt,48940,41.1333,175.05,0,0.2,0.7,0.8,0.2,0.75
